slug,label,old_path,new_path,depth_change,direct_broader_old,direct_broader_new,disposition,owner_signoff,notes
CM-1-1-4,Refinery Planning,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning,Downstream Operations > Refining > Refinery Planning and Optimization,L3 → L2,CM-1-1,L1-refining,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7,Refinery Scheduling,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling,Downstream Operations > Refining > Refinery Production Planning and Scheduling,L3 → L2,CM-1-1,L1-refining,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-1,Develop Refinery Premise for Prompt and Out Month,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Develop Refinery Premise for Prompt and Out Month,Downstream Operations > Refining > Refinery Planning and Optimization > Develop Refinery Premise for Prompt and Out Month,L4 → L3,CM-1-1-4,CM-1-1-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-2,Receive RO Targets,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Receive RO Targets,Downstream Operations > Refining > Refinery Planning and Optimization > Receive RO Targets,L4 → L3,CM-1-1-4,CM-1-1-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-3,Refresh Refinery Plan for month M,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refresh Refinery Plan for month M,Downstream Operations > Refining > Refinery Planning and Optimization > Refresh Refinery Plan for month M,L4 → L3,CM-1-1-4,CM-1-1-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-4,Perform Prompt Month Evaluations,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Perform Prompt Month Evaluations,Downstream Operations > Refining > Refinery Planning and Optimization > Perform Prompt Month Evaluations,L4 → L3,CM-1-1-4,CM-1-1-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-5,Communicate Changes to Scheduling,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Communicate Changes to Scheduling,Downstream Operations > Refining > Refinery Planning and Optimization > Communicate Changes to Scheduling,L4 → L3,CM-1-1-4,CM-1-1-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7,Refinery Optimization,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization,L4 → L3,CM-1-1-4,CM-1-1-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-1-1,Review business context and identify data objects requiring changes in Refinery Premise,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Develop Refinery Premise for Prompt and Out Month > Review business context and identify data objects requiring changes in Refinery Premise,Downstream Operations > Refining > Refinery Planning and Optimization > Develop Refinery Premise for Prompt and Out Month > Review business context and identify data objects requiring changes in Refinery Premise,L5 → L4,CM-1-1-4-1,CM-1-1-4-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-1-2,Engage Key stakeholders to finalize overrides and develop rationale for Refinery Premise,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Develop Refinery Premise for Prompt and Out Month > Engage Key stakeholders to finalize overrides and develop rationale for Refinery Premise,Downstream Operations > Refining > Refinery Planning and Optimization > Develop Refinery Premise for Prompt and Out Month > Engage Key stakeholders to finalize overrides and develop rationale for Refinery Premise,L5 → L4,CM-1-1-4-1,CM-1-1-4-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
