slug,level,is_stub,lsc_name,breadcrumb,triage,apqc_id,apqc_hier,apqc_depth,level_delta,apqc_name,apqc_match_score,apqc_name_only_score,apqc_description,eia_term,eia_definition,eia_url,agreement,decision,adopted_definition,provenance,web_validator,web_agreement,Decision,Notes
L0-downstream-operations,0,no,Downstream Operations,Downstream Operations,WEAK,19948,1.1.3.2,4,,Analyze internal operations,0.4,0.4,Identify key elements of operations and measure effectiveness of these elements within internal operations.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1,1,no,Commercial & Marketing,Downstream Operations > Commercial & Marketing,WEAK,10102,3.2,2,-1,Develop marketing strategy,0.4,0.4,"Charting a strategic course for marketing products/services. This will include defining the value proposition, creating a mechanism for pricing, and determining the right mix of marketing channels. Create a specific positioning and branding for the organization's offerings. Enlist marketing head to lead, with inputs from the business development and sales functions.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-1-1,4,no,Demand Forecasting,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Demand Forecasting > Demand Forecasting,WEAK,10240,4.1.2.8,4,0,Evaluate and revise demand forecasting approach,0.571,0.571,Examining the methodology used to estimate future demand. Refine it in light of current market realities and demand.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-1-1-1,5,no,Prepare Master Data To Create Demand Forecast,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Demand Forecasting > Demand Forecasting > Prepare Master Data To Create Demand Forecast,WEAK,10252,4.1.6.1,4,1,Maintain master data,0.444,0.444,"Maintaining and preserving the master data plan for distribution requirements. Create a systematic collection of facts and figures regarding the distribution of the inventories. Maintain policies, processes, and tools covering the distribution function.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-1-1-2,5,no,Develop Statistical Baseline,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Demand Forecasting > Demand Forecasting > Develop Statistical Baseline,STRONG,20043,5.2.1.2,4,1,Develop baseline forecasts,0.667,0.667,"Identifying the demand anticipated for the organization's services. Estimate future demand for services using historical data, analysis of the market environment, and external data.",,,,pending,NEEDS REVIEW,,,,,REJECTED,"CIRCULAR VALIDATOR (human gate): validator is APQC itself ('Develop baseline demand forecasts', apqc.org benchmarking measures page) validating APQC's own description. Triangulation requires an INDEPENDENT source. No adoption without external agreement."
CM-1-1-1-1-3,5,no,Adjust Forecast Incorporating Customer Input and Market Intelligence,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Demand Forecasting > Demand Forecasting > Adjust Forecast Incorporating Customer Input and Market Intelligence,WEAK,10106,3.1.1,3,2,Perform customer and market intelligence analysis,0.5,0.5,Gathering intelligence on the market and customers. Closely examine the inherent attributes and collective behavior of the various market and customer segments. Track trends in the market. Determine what drives the customers to make purchasing decisions in order to identify opportunities in the market.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-1-1-4,5,no,Publish Forecast and Generate Component Level Forecast Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Demand Forecasting > Demand Forecasting > Publish Forecast and Generate Component Level Forecast Plan,STRONG,10306,4.3.1.2,4,1,Generate line level plan,0.6,0.6,"Initiating the line-level plan for production. Break down the production schedule into specific lines, specifying the various objectives the production schedule.",,,,pending,NEEDS REVIEW,,,,,REJECTED,"CIRCULAR VALIDATOR (human gate): validator is APQC itself and the cited URL (turnover-rate-manufacturing-personnel) is unrelated to line-level planning; the 'definition' merely restates APQC's own description (agreement 1.0 is self-match). No independent source, no adoption."
CM-1-1-1-1-5,5,no,Monitor Demand Forecasting Performance and Reporting,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Demand Forecasting > Demand Forecasting > Monitor Demand Forecasting Performance and Reporting,WEAK,16574,3.2.4.2,4,1,Monitor and report performance,0.5,0.5,Tracking trends and changes in performance inside individual marketing channels and in channels collectively. Summarize and document results. Alert relevant parties about significant or unexpected deviations from expected behaviors.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-2,3,no,Regional Optimization,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Regional Optimization,NONE,19569,4.3.2.5.3,5,-2,Perform real-time optimization,0.333,0.333,"Helping organizations increase performance and efficiency, real-time optimization is a category of closed-loop process control that aims at optimizing process performance in real time for systems. It is normally built upon model-based optimization systems and is usually large scale. Real-time optimization automatically detects errors, and can modify and eliminate both random and non-random errors, as well as analyze and monitor all systems involved.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-2-10,4,no,Crude Allocation Decision,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Regional Optimization > Crude Allocation Decision,NONE,20688,8.2.5.6,4,0,Optimize IT resource allocation,0.333,0.333,Create process to assign and manage IT assets that support organization's strategic goals.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-2-11,4,no,Product Allocation Decision,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Regional Optimization > Product Allocation Decision,NONE,16820,2.3.1.8.2,5,-1,Design for product servicing,0.333,0.333,Creating product application service view to allow for product servicing and refurbishing.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-2-12,4,no,Maintain Supply Planning Master Data,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Regional Optimization > Maintain Supply Planning Master Data,STRONG,10252,4.1.6.1,4,0,Maintain master data,0.75,0.75,"Maintaining and preserving the master data plan for distribution requirements. Create a systematic collection of facts and figures regarding the distribution of the inventories. Maintain policies, processes, and tools covering the distribution function.",,,,pending,NEEDS REVIEW,,,Wikipedia — Master data,0.25,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-2-13,4,no,Plan Finished Goods Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Regional Optimization > Plan Finished Goods Inventory,STRONG,10359,4.4.4.7,4,0,Manage physical finished goods inventory,0.667,0.667,"Administering the movement of the finished products that are processed by the organization through its warehouses. Track goods through the use of systems such as barcodes in order to monitor the volumes available, quantity of out-flowing goods, remaining shelf life of the product, etc.--ultimately, to best manage the warehouse capacity.",,,,pending,NEEDS REVIEW,,,QuickBooks (Intuit): 'Finished goods inventory',0.136,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-5,4,no,Product Scheduling,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Product Scheduling,WEAK,16820,2.3.1.8.2,5,-1,Design for product servicing,0.4,0.4,Creating product application service view to allow for product servicing and refurbishing.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-5-1,5,no,Develop Short-Term Network Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Product Scheduling > Develop Short-Term Network Plan,WEAK,16501,3.2.4.5,4,1,Develop plan for improvements,0.5,0.5,Devising a course of action to be taken to improve under-performing channels and to promote or expand channels that surpass expectations.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-5-2,5,no,Coordinate Product Trading,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Product Scheduling > Coordinate Product Trading,NONE,16820,2.3.1.8.2,5,0,Design for product servicing,0.333,0.333,Creating product application service view to allow for product servicing and refurbishing.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
